Word,POS,Definition
"กบตาง, กบเบี้ย",น.,การพนันชนิดหนึ่ง ใช้ธนบัตรมาสอบตัวเลขกัน
กบกับ,ว.,"รีบเร่ง, อาการที่รีบทำอย่างลุกลน (ดู ลกลก)."
กบตู,น.,๑. สลักไม้ที่ใส่ไว้ด้านในส่วนล่างตอนกลางของบานหน้าต่างหรือประตู ทำหน้าที่คล้ายกลอน เมื่อปิดหน้าต่างหรือประตูใช้กบตัวนี้สอดเข้าไปในช่องเจาะตัวไม้ธรณี.
กบตู,น.,ไม้เครื่องเรือนที่พาดเบื้องบนเป็นสันหลังคาเหนือใบดั้ง (ดู แปทู).
กบโรง,น.,หมอประจำโรงมหรสพ เช่น โรงมโนราห์ หนังตะลุง เมื่อมีการประชันจะทำหน้าที่เรียกคนผูกคน และ ป้องปัดอันตรายโดยใช้อาคม.
กบาย่า,น.,เสื้อสตรีมุสลิมยาวถึงครึ่งขา มีกระดุมติดเป็นช่วง ๆ เรียกว่า กบาย่าลาโบ๊ะ หากเสื้อสั้นขึ้นมาปิดสะโพก เรียกว่า กบาย่าแปชะ
กม,น.,"ลูกกระเดือก, ส่วนอวัยวะเป็นก้อนแข็งที่ในคออยู่เหนือหลอดลม (เทียบ ม. halakon)."
กรก,ว.,"๑. เหมาะเจาะ, พอดี เช่น เข้ากันกรกเลย -เข้ากันพอดีเลย, เข้ากันสนิท."
กรก,ว.,"มาก, ยิ่ง เช่นจืดกรก - จืดชืด, แห้งกรก - แห้งสนิท"
กรกกรก,ว.,"มาก, ยิ่ง (ดู กรก"
กรกกรก,ว.,๒.).
กรกกรอย,ก.,"ตกอับ, แร้นแค้น"
กร็องกรอย,,ก็ว่า.
กรกแกร็ก,น.,"ไฮโล, ชื่อการพนันชนิดหนึ่ง เล่นด้วยลูกเต๋า."
กรกแกร็ก,ว.,"๑. อ่อนเปลี้ย, ย่ำแย่ เช่น เดินจนหัวเขากรกแกร็ก - เดินจนเข่าอ่อน, ฐานะกรกแกร็ก - ฐานะย่ำแย่"
"ขล็อกแขล็ก (ภ.ก., พ.ง.)",,ก็ว่า.
"๒. หลวม, คลอน เช่น รถนี้กรกแกร็กแหม็ดแล้ว - รถนี้ (ชิ้นส่วน) หลวม หรือคลอนหมดแล้ว",,
"ขล็อกแขล็ก (ภ.ก., พ.ง.)",,ก็ว่า.
"๓. เหลวไหล, ไม่แน่นอน, ไม่คงที่, เชื่อถือไม่ได้ เช่น คนกรกแกร็ก - คนที่เชื่อถือไม่ได้",,
หลกแหล็ก (น.ธ.),,ก็ว่า.
๔. เสียงดังเช่นนั้น.,,
