Word,POS,Definition
"นางเบียน, นางสองแขน, นางท้ายแด้ง, พึ่ดตึ้ง, นางทาสา",,ก็เรียก.
กาเข้,สำ.,ไม่ยอมจ่ายเงิน (ดู กาไก
กาเข้,สำ.,).
กาง,น.,ตะกางหรือสะกาง คือ เครื่องดักจระเข้ มีเงี่ยง ๒ ข้าง สำหรับผูกเหยื่อ ลอยน้ำได้.
กาง,ก.,"๑. คลุม, สวม, กั้น เช่น กางหมวก - สวมหมวก."
กาง,ก.,"กาง, คลี่, แผ่ออก เช่น กางร่ม"
แฉ็ง (น.ศ.),,ก็ว่า.
"ว. ถ่างออก, แผ่ออก เช่น หูกาง, พุงกาง - ท้องกาง.",,
ก้าง,น.,๑. ส่วนแข็งที่ประกอบเป็นโครงร่างของปลา.
ก้าง,น.,"เศษ, เดน."
ก้าง,ก.,"ติด, ค้าง เช่น ลูกปืนก้าง - กระสุนปืนขัดลำกล้อง."
ก้าง,ว.,ผอมโซ เช่น อ้ายก้าง - คนผอม.
ก๋าง,ก.,ลอยไป เช่น จระเข้ที่นอนนิ่ง ๆ บนผิวน้ำให้น้ำพาไปหรือการนำของไม่ดีต่าง ๆ ตามความเชื่อทางไสยศาสตร์ไปลอยน้ำเรียก “ลอยก๋าง” (ภ.ก.).
ก้างกิง,น.,กางเกง (ดู กงเกง).
ก้างเกง,น.,กางเกง (ดู กงเกง).
ก้างเกียะ,น.,ปลวกชนิดหนึ่ง (ดู ก้องเกียะ).
ก้างขาว,น.,หัวหน้าคนงาน (ดู กั่งถาว).
ก้างแทงหม็อก,ก.,อาการเสียดยอก จุกแน่นชายโครง
"ป้างแทงหม็อก, ป้างแทง",,ก็ว่า.
ก้างปลา,น.,๑. ชื่อไม้พุ่มหลายชนิด ชอบขึ้นริมน้ำหรือที่ซับน้ำ ใบยาวรี ปลายมน ดอกออกเป็นกลุ่มอยู่ตามง่ามใบ แถวปลายกิ่ง ผลสุกมีสีดำ ถ้าบี้แล้วจะมีสีเหมือนหมึก ติดมือล้างออกยาก.
ก้างปลา,น.,กระทกรก (ดู รกข้าง).
ก้างปลาร้า,น.,กระทกรก (ดู รกช้าง).
กางหาง,ว.,กล้าโดยไม่มีเหตุผล
ม่าม (ส.ฎ.),,ก็ว่า.
กางหยาง,น.,ส่วนของคันยอ ซึ่งใช้ไม้ไผ่ ๓ อัน ร้อยไขว้กัน ใช้สอดใส่นิ้วยอ (ดู โกกกาก).
กางหลาง,ว.,"๑. เกะกะ, เกกมะเหรก, วางท่า เช่น ทำกางหลางเหมือนนักเลงโต – วางท่าเหมือนนักเลงโต."
กางหลาง,ว.,ไม่เอาการเอางาน.
กาจับหลัก,น.,วิธีทางไสยศาสตร์ ประเภทเมตตามหานิยม โดยลงอักขระหรืออาคมที่หน้าผาก แก้มหรือฟัน เป็นวิธีการที่นิยมใช้กันในหมู่ศิลปินพื้นเมือง.
ก่าจั๊วะ,น.,แมลงสาบ (ดู สาบ
ก่าจั๊วะ,น.,๒.).
ก่าจี้,น.,แร่วุลแฟรม (ภ.ก.).
ก่าจี้,น.,เมล็ดแตงโม (ดู กัวจี้).
กาชาด,น.,ชื่อหนึ่งในสี่ของสมณศักดิ์ในภาคใต้ (ดู กา
กาชาด,น.,๕.).
กาชี้,น.,โรคพืชชนิดหนึ่ง ทำให้เปลือกผลเป็นจุดเนื้อในแข็ง.
กาด,น.,"๑. ผักกาด, ชื่อไม้ล้มลุกหลายชนิดหลายสกุล บางชนิดใช้ใบ บางชนิดใช้หัวเป็นผัก เช่น ผักกาด กวางตุ้ง ผักกาดขม ผักกาดขาว ผักกาดหัว เป็นต้น."
กาด,น.,"คนตรวจตั๋วรถไฟเรียก ""กาดรถ"" ,"
กาด,ก.,๑. อาราธนาสิ่งศักดิ์สิทธิ์ เช่น โนรากาดครูหมอ - มโนราห์กล่าวคำบวงสรวงครู และสิ่งศักดิ์สิทธิ์ที่ตนนับถือ.
กาด,ก.,"คุมเชิง, ป้องกันรักษา."
กาดุ,น.,กระสอบป่าน (ดู ยู่หนี.)
กาเดิม,น.,ชื่อหนึ่งในสี่ของสมณศักดิ์ในภาคใต้ (ดู กา
กาเดิม,น.,๕.).
กาต้ม,น.,ประเพณีอย่างหนึ่งของชาวไชยาและท่าชนะ จังหวัดสุราษฎร์ธานี โดยศิษย์วัดจะนำภาชนะไปรับข้าวต้มมัดจากชาวบ้านในคืนวันออกพรรษา เพื่อนำมาถวายพระในวันชักพระ.
ก่าโต้,น.,กรรไกร (ดู ไกร
ก่าโต้,น.,๑.).
ก้าถาว,น.,"ระหัดวิดน้ำ ดิน และแร่ ขึ้นจากอุโมงค์ (จ., ภ.ก., พ.ง.)."
กาทึง,น.,ต้นกากะทิง (ดู ทึง
กาทึง,น.,)
ก้าน,น.,"๑. ก้าน, ซี่ เช่น ก้านร่ม - ซี่ร่ม."
ก้าน,น.,ขวด (ดู ขวด
ก้าน,น.,๑.).
กานดำ,น.,งูก้านมะพร้าว (ดู ก้านพร้าว).
กานชา,น.,กัญชา (ส.ฎ.).
กานเช้า,น.,กระเป๋าสานด้วยกระจูด ใช้ใส่หนังสือ.
ก้านตอง,น.,๑. ไม้ตีทาบขวางแผ่นกระดานเพื่อยึดแผ่นกระดานให้ติดกันหรือให้แข็งแรงยิ่งขึ้น.
ก้านตอง,น.,ไม้วางในโลงศพสำหรับวางฟากตั้งศพ (ดู ข้ามเล
ก้านตอง,น.,๑.).
ก้านนี้หน่าโบ้,ว.,คำด่าแม่ของคนเชี้อสายจีน
"ก้านนี้แน่ (จ., ภ.ก.).",,ก็ว่า
กานบูน,น.,การบูร.
ก้านพร้าว,น.,๑. ชื่องู ท่อนหัวมีลายยาว ตามลำตัวสีดำขาวท่อนหางสีน้ำตาลแดง ไม่มีพิษ เรียก งูก้านมะพร้าว
"ทางพร้าว, กานกำ, ปะด่าง",,ก็เรียก.
"๒. ชื่อไม้กวาดที่ทำด้วยก้านมะพร้าว เรียก ""ไม้กวาดก้านพร้าว""",,
กาน้ำ,น.,๑. ชื่อนกชนิดหนึ่ง ปากแหลม คอยาว สีดำคล้ายกา แต่ขนยาวกว่า เดินเหมือนเป็ด หากินในน้ำ กินปลาเป็นอาหาร.
กาน้ำ,น.,นักประดาน้ำที่ไม่ใช้เครื่องประดาน้ำ (ดู ดาน้ำ).
ก้าน้ำ,ก.,ตักน้ำขึ้นจากบ่อ โดยใช้ไม้ท่อนทำเป็นรอกมีแกนเหล็กหมุน (ส.ต.).
กาบ,น.,เปลือกหุ้มชั้นนอกของผลหรือดอกและต้นไม้บางชนิด ลอกออกได้เป็นชั้น ๆ เช่น กาบมะพร้าว กาบหมาก กาบกล้วย เป็นต้น.
"กาบดำ, กาบแดง, กาบอ้อย",น.,ชื่อข้าวพันธุ์พื้นเมือง.
กาบเปะ,น.,กาบหมาก (ส.ต.).
ลัก. ลักษณนามที่เรียกยาแผนจีนที่จัดเป็นชุด.,,
ก่าโบ๋ย,น.,คำเรียกชายชาวอินเดียที่โพกหัว ซึ่งมีอาชีพขายผ้า
"ก้าบน, ก้าบุน (ภ.ก.)",,ก็เรียก.
กาบโปรง,น.,กระโปรง (ดู ก้ามโปรง).
กาบหยา,ก.,"เทียบยา, ซื้อยาร้านยาจีนซึ่งเป็นยาสมุนไพร (ภ.ก., พ.ง.)."
กาบอ้อย,น.,ชื่อไม้ยืนต้น วงศ์ Burseraceae ใบประกอบปลายคี่ ดอกเล็กสีเขียวอ่อน ผลรูปไข่เบี้ยว
อะปะตูบู (น.ธ.),,ก็เรียก.
กาปิต้า,น.,คาร์บูเรเตอร์ (อ. carburetor ; ภ.ก.).
ก่าเปก,น.,"หน่อไม้น้ำ เป็นพืชตระกูลหญ้าในวงศ์ Gramineae (ภ.ก., พ.ง.)"
กะเปะ,,ก็เรียก.
ก้าโปรง,น.,กระโปรง (ดู ก้ามโปรง).
กาฝาก,น.,"๑. กาฝาก, ชื่อพืชเบียนหลายชนิดที่อาศัยเกาะดูดน้ำและแร่ธาตุหรือสารอาหารที่สังเคราะห์แล้วจากพรรณไม้อื่น."
กาฝากหัวเสือ,น.,ชื่อไม้พุ่มชนิดหนึ่ง (ดู หัวร้อยรู).
"๒. คำเฉลยปริศนาคำทายที่ว่า ""กากะไหรแค่ไม่มีรัง"". ๓. นกขนาดเล็กชนิดหนึ่งชอบกินกาฝาก.",,
กาพุ่ม,น.,ชื่อไม้พุ่มรอเลื้อยถึงไม้เลื้อยขนาดใหญ่ วงศ์ Rubiaceae ใบเดี่ยวเรียงตรงข้ามกัน ดอก ๕ กลีบ สีขาวถึงเหลืองนวล ผลรูปกระสวย
"เกี่ยวชู้, เถาย่านน้ำเต้า",,ก็เรียก.
ก้ามปู,น.,"๑. ขากรรไกร, กระดูกต้นคางที่อ้าขึ้นอ้าลงมีลักษณะอย่างกรรไกร (น.ศ.)."
ก้ามปู,น.,ตะขอสับที่มีลักษณะเป็นเช่นนั้น.
ก้ามปู,น.,"ต้นฉำฉา, ชื่อไม้ต้นขนาดใหญ่ เรือนยอดทึบแผ่สาขากว้าง ดอกเป็นพู่ สีชมพู ฝักแก่สีน้ำตาลไหม้ รสหวาน ๆ"
"ฉ้ำฉา, ขามหวาน (พ.ท.), ตีห้า (ก.บ.)",,ก็เรียก.
ก้ามโปรง,น.,"กระโปรง, ผ้านุ่งผู้หญิงแบบสากล"
"กาบโปรง (ส.ฎ.), ก้าโปรง (น.ศ.)",,ก็เรียก.
กามพลู,น.,"กานพลู, ชื่อไม้ต้นขนาดกลาง ดอกตูม มีรสเผ็ดร้อนตากแห้งแล้วใช้เป็นเครื่องเทศและทำยา (ทมิฬ กิรามบู)"
กำพู,,ก็เรียก.
กาย,น.,"๑. ปัญญา, ความรอบรู้, ความรู้ทั่ว, ความฉลาดเกิดแต่เรียนและคิด เช่น กายดี – ปัญญาดี (ส.ต)."
กาย,น.,ชื่อไม้เถาเลื้อยขนาดใหญ่ วงศ์ Rubiaceae ใบเดี่ยวเรียงตรงข้ามกัน ดอก ๕ กลีบ สีเขียวอ่อนถึงขาวนวล ผลคล้ายรูปกระสวย.
กาย,ก.,"เขี่ย, คุ้ย, ก่าย, ตะกาย, เกย เช่น เอาไม้มากายไฟ - เอาไม้เกลี่ยไฟให้อ่อนลง, ไกมากายต้นผัก - ไก่มาคุ้ยเขี่ยต้นผัก."
ก๋าย,น.,ชื่อไม้เลื้อยเนื้อแข็งขนาดใหญ่ วงศ์ Annonaceae ใบเดี่ยวเรียงสลับสองด้านของกิ่งในระนาบเดียวกัน ดอกออกเป็นช่อ ๆ กลีบดอกสีขาวนวลแกมสีม่วงผลกลุ่ม แต่ละผลรูปกลมรี.
กายหลาย,ว.,"ไม่อยู่ในร่องในรอย, กล้าเสี่ยงโดยไม่เกรงกลัว (ดู กวายหลาย)."
กาย่ง,น.,ศิลปะการป้องกันตัวของคนเชื้อสายมลายู (ภ.ก.).
กายอง,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
การ,น.,"๑. งานพิธี, การงาน, เจ้าภาพในงานพิธีเรียก ""เจ้าการหรือเจ้างาน"", วันเริ่มงานเรียก ""เข้าการหรือเข้างาน"" บอกกล่าวแขกเข้าร่วมงาน เรียก ""บอกการหรือบอกงาน"", การไปช่วยเหลือ เรียก ""ช่วยการหรือช่วยงาน"" ผู้ที่ประสานงานเรียก ""แล่นการ"", บางถิ่นเรียกผู้บริการในงานว่า ""แล่นการ"", ร่วมรับประทานอาหารในพิธีเรียก ""กินการหรือกินงาน"", งานเลิกเรียก ""เลิกการหรือเลิกงาน"", ๒. เรื่องราว เช่น การไหรหมึง - เรื่องอะไรของคุณ. การไหรใคร"
การ,สำ.,ไมใช่ธุระของใคร.
การ,สำ.,ระยะเวลาการทำงาน ๘ ชั่วโมง หรือ ๑ กะ เรียก ๑ การ เช่น วันนี้หมึงได้กี้การ - วันนี้มึงได้กี่แรงหรือกี่กะ (ภ.ก.).
การขี้หนี,น.,"เสนียดจัญไร, ลักษณะที่เป็นอัปมงคล."
การดี,ว.,"ขยัน, ไม่เกียจคร้าน, ทำการงานอย่างแข็งขัน ไม่ปล่อยปละละเลย."
การดี,สำ.,เจ้ากี้เจ้าการ.
การหาน,ว.,ขี้เกียจ.
การะหนี,น.,บานไม่รู้โรย (ดู กุนหนี).
การาม,น.,ชื่อหนึ่งในสี่ของสมณศักดิ์ภาคใต้ (ดู กา
การาม,น.,๕.).
กาล้วงหม้อ,น.,๑. ซอกไหปลาร้าที่เป็นรอยบุ๋มลงไป เช่น อ้ายแดงถูกแทงเข้ากาล้วงหม้อ - อ้ายแดงถูกแทงเข้าที่ไหปลาร้า.
กาล้วงหม้อ,น.,การเล่นของเด็กอย่างหนึ่ง ทำรูปไข่วางกลางดินที่มีอุโมงค์แล้วใช้มือชกที่อุโมงค์ให้ไข่กระเด็น ใครทำให้ไข่กระเด็นได้โกลที่สุดเป็นผู้ชนะ.
กาล้วงหม้อ,น.,กายกรรมท่าหนึ่ง โดยผู้แสดงม้วนกลิ้งไปบนราวคู่.
กาลอ,น.,ชื่อไม้ต้นขนาดย่อม มักขึ้นในป่าใส ในที่ชุ่มขึ้น.
ก่าล็อก,น.,ลูกข่าง (ดู ลูกหัน).
ก่าล่อจี้,น.,"ชื่อขนมชนิดหนึ่ง ทำด้วยแป้งข้าวเหนียวทอดด้วยไฟอ่อน ๆ คลุกกับงาผสมน้ำตาลทรายขาว (จ., ภ.ก.)."
ก่าเลาะ,น.,ลูกข่าง (ดู ลูกหัน).
ก่าว,ว.,"เข้มข้น, พอดี, พอใช้ได้ เช่น โกปี๊ก่าว ๆ – กาแฟอย่างเข้มข้น (จ., ภ.ก., พ.ง.)."
ก้าว,น.,"สุนัข (จ., ภ.ก., พ.ง.)."
ก่าวก๊วน,ก.,"ช่วยซื้อ, ช่วยอุดหนุน (จ., ภ.ก., พ.ง., ส.ต.)."
ก้าวขุ่ย,สำ.,"เต็มที่, ถึงใจ (จ., ภ.ก.)."
ก่าวโจ้,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
ก่าวโบ้ย,น.,"ท้ายรางเหมืองแร่ (จ., ภ.ก.)."
ก้าวสั่วจ่าบ้อ,ก.,"เจ้าชู้, จีบผู้หญิง (จ., ภ.ก.)."
ก่าวหงิน,ก.,แต่งงาน (ดู ก่าวอิ๋น).
กาวหวาว,ว.,"สามหาว, เอะอะ"
กวาวหวาว,,ก็ว่า.
ก่าวอิ๋น,ก.,แต่งงาน
"ก่าวหงิน, ก่าวเอี๋ยน (จ., ภ.ก.)",,ก็ว่า.
ก่าวอี้,น.,"เก้าอี้ (จ., ภ.ก.)."
ก่าวเออะ,ว.,"มากเรื่อง, จู้จี้จุกจิก (จ., ภ.ก., พ.ง.)."
ก่าวเอี๋ยน,ก.,แต่งงาน (ดู ก่าวอิ๋น).
ก้าวัก,น.,ตะหลิว (ดู เจี้ยนที่).
กาสามปีก,น.,ชื่อไม้ชนิดหนึ่ง (ดู นูดพระ).
กาหมัง,ว.,กระมัง (ดู หมัง
กาหมัง,ว.,๒.).
ก่าหมึง,ว.,กระมัง เช่น พ่อมาแหล่วก่าหมึง - พ่อมาแล้วกระมัง (ภ.ก.).
ก่าเหมีย,น.,"เพศหญิง, ตัวเมีย."
ก่าเหมีย,สำ.,ผู้ชายที่ไม่สู้คน (ดู เหมีย
ก่าเหมีย,สำ.,).
กาหยี,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
กาหยู,น.,มะม่วงหิมพานต์ (ดู ยาร่วง).
ก้าหรัง,ว.,"ทนทาน, แข็งแรง (ดู หรัง"
ก้าหรัง,ว.,).
กาหลง,น.,ชื่อไม้พุ่ม ปลายใบหยักเว้าลึก ดอกใหญ่สีขาว ออกเป็นช่อสั้นตามง่ามใบ.
กาหลง,น.,ชื่อไม้ต้นชนิดหนึ่ง ใบเล็ก ดอกเล็ก มีกลิ่นหอม
กะเบาน้ำ (น.ศ.),,ก็เรียก.
กาหลอ,น.,วงดนตรีประโคมในงานศพ ไม่ใช้ในงานมงคล มีฆ้อง ๒ ลูก ปี่ห้อ ๑ เลา กลองแขก ๑ คู่
โนราผี,,ก็เรียก.
กาหลัก,น.,๑. ต้นลำโพงชนิดหนึ่ง ผิวผลเรียบไม่มีหนาม.
กาหลัก,น.,เครื่องยกของหนัก.
กาหลัก,ว.,"ชั่ว, เลว เช่น หญิงกาหลัก."
กาหลา,น.,๑. ชื่อไม้เนื้ออ่อนชนิดหนึ่ง.
กาหลา,น.,ชื่อไม้ล้มลุกต้น คล้ายข่า สูง ๓ - ๕ เมตร ช่อดอกคล้ายบัวตูม แต่กลีบแข็ง สีแดง สีชมพู ลีขาว มีดอกเล็ก ๆ แน่น ) เป็นกระจุกอยู่ภายใน ก้านช่อดอกผุ่ดขึ้นจากดิน และยาวได้ถึง ๑ เมตร หน่อและดอกอ่อนใช้เป็นอาหาร
ดาหลา,,ก็เรียก.
"๓. เจ้าป่าช้าที่เรียกว่า ""ยายกาหลาตากาหลี"" แต่บางแห่งเรียกว่า ""ตากาหลายายกาหลี"" ๔. น้ำมันทา ทำจากต้นกาหลาแก้เข็ดยอก. ก. ทำให้คนอื่นเสียหาย. ว. ชั่ว, ทราม,",,
กาหลำ,น.,"ปะวะหล่ำ, เครื่องประดับสำหรับผูกข้อมือ ทำเป็นรูปกลม ๆ สลักเป็นลวดลาย."
กาหลี,น.,เจ้าป่าช้า (ดู กาหลา
กาหลี,น.,๓.).
ก่าเหฺล,น.,"หุ่นชักแบบจีน (จ, ภ.ก.)."
กาเหวง,ก.,๑. แต่งงาน.
กาเหวง,ก.,ติดตาต่อกิ่ง.
กาโห,สำ.,"ห่างไกลความเจริญ, เชย เช่น ทำเป็นกาโหไปได้ - ทำเชย ๆ ไปได้."
กำ,น.,"๑. ไม้ระกำ, ชื่อปาล์มชนิดหนึ่ง ขึ้นเป็นกอ ก้านใบมีหนามแข็ง เนื้อฟ่าม ผลออกเป็นกระจุก กินได้."
กำ,น.,หญ้าชนิดหนึ่ง ขึ้นตามคันนาและในน้ำสูงท่วมศีรษะใบคล้ายใบอ้อยแต่เล็กกว่า มีขนอ่อนๆสั้นๆ.
กำ,น.,ชื่อหวายชนิดหนึ่ง มีทางเหมือนระกำ.
กำ,น.,มาตราวัดรอบของกลมซึ่งวัดด้วยความกว้างของช่วงฝ่ามือกำ.
กำ,น.,อาการที่เกิดจากสิ่งสกปรกอัดอยู่ในซอกเล็บแล้วอักเสบ
"กำกิน, กำหมา, ตีนเป็นกำ",,ก็เรียก.
ก. งดเว้นกินของแสลงในยามป่วยไข้. ลัก. ๑. พลู ๔ จับหรือแบะ มัดรวมกันเรียกว่า ๑ กำ. ๒. เรียกต้นกล้าข้าวที่ถอนแล้ว ใช้เชือกมัด เรียก เป็นกำ.,,
กำมือ,ลัก.,กำ เช่น เก็บใบไม้สักกำมือ - เก็บใบไม้สักกำ.
กำกิน,ก.,อาการที่เกิดจากสิ่งสกปรกอัดอยู่ในซอกเล็บแล้วอักเสบ (ดู กำ
กำกิน,น.,๕.).
ก้ำกึง,ว.,"ก้ำกึ่ง, คาบกึ่ง, เกือบเท่ากัน เช่น ชายสองคนนั้น หฺมฺลังก้ำกึงกัน – ชายสองคนนั้นมีกำลังก้ำกึ่งกัน."
กำคอ,น.,"อเส, ตัวไม้ซึ่งประกอบยึดเสาส่วนบนของเรือน (ส.ฎ.)."
กำจัด,น.,๑. ชื่อไม้ต้นขนาดกลางชนิดหนึ่ง ต้นและกิ่ง ก้านเป็นหนาม ใบมีใบย่อย ๖ - ๘ คู่ ผลเล็ก ๆ ขนาดเมล็ดพริกไทย ผิวขรุขระมีกลิ่นฉุน คล้ายกลิ่นเมล็ดผักชียี่หร่าเมล็ดกลม ๆ ดำเป็นมัน ใช้ ผสมเป็นเครื่องแกงให้ชูรส.
กำจัด,น.,"เรียกเขี้ยวหรืองาช้างที่หักติดอยู่ในไม้หรือสิ่งอื่น เช่น เขี้ยวหมูป่า กำจัด, งาช้างกำจัด"
กำจาย,,ก็เรียก
กำจาย,น.,เรียกเขี้ยวหรืองาของสัตว์ที่หักติดอยู่ในไม้หรือสิ่งอื่น ๆ (ดู กำจัด
กำจาย,น.,๒.).
ก้ำเจี่ย,น.,"อ้อย (จ., ภ.ก.)."
กำชำ,น.,มะหวด
"กำซำ, ซำ, ลาชำ, ลูกชำ, ลูกซำ",,ก็เรียก.
ก่ำชึ้ง,น.,"โรคหนองใน, โรคซิฟิลิส (จ., ภ.ก.)"
กะหรัง (น.ธ.),,ก็เรียก.
กำซำ,น.,มะหวด (ดู กำชำ).
กำเซ็น,,ดู กำเซี้ยน.
ก่ำเซี้ยน,น.,"เปอร์เซ็นต์, ค่านายหน้า (จ., ภ.ก.)"
"กำเซ็น (น.ธ.), ปัดเซี้ยน",,ก็เรียก.
กำดิง,ก.,"เป็นห่วง, คิดถึง, คำนึง (ภ.ก.) เช่น ใจกำดิงถึงมาหา - คิดถึงจึงมาหา."
"คำดิง, กำดึง",,ก็ว่า.
กำตัด,น.,กำถั่ว (การพนันชนิดหนึ่ง).
กำทู,น.,ไม้เครื่องเรือนที่พาดเบื้องบนเป็นส้นหลังคา เหนือใบดั้ง (ดู แปทู).
กาปิน,น.,ชื่อตะพาบน้ำขนาดเล็ก อาศัยตามลำธาร (ดู หวา
กาปิน,น.,๒.).
กำพริก,น.,กัลปพฤกษ์
"กำพรึก, กำพลิก, กำพลึก",,ก็เรียก.
กำพลัด,น.,ทำนองร้องบทมโนราห์ทำนองหนึ่ง
"กำพรัด, คำพลัด",,ก็เรียก.
กำพวน,น.,ชื่อหวายชนิดหนึ่ง (ดู พวน
กำพวน,น.,๒.).
กำแพงเจ็ดชั้น,น.,ชื่อไม้เถาและไม้รอเลื้อย (ดู หลุมนก).
กำโพน,น.,๑. เชือกที่ใช้แขวนเปลทำจากหวายพวนหรือกำพวน.
กำโพน,น.,ชื่อหวายชนิดหนึ่ง (ดู พวน
กำโพน,น.,๒.).
กำมฺลัง,น.,"เรี่ยวแรง, กำลัง เช่น กำมฺลังไม่ดี - ไม่มีกำลัง"
"มฺลัง, หฺมฺรัง (ส.ข.), กำหฺมฺลัง (น.ศ.), กำหลัง (ส.ฎ.)",,ก็เรียก.
ว. กำลังกระทำ เช่น กำมฺลังนอน - กำลังนอน.,,
กำไมฺร,น.,๑. กำไร เช่น ขายของไม่ได้กำไมฺร - ขายของไม่ได้กำไร
กำไหฺมฺล (น.ศ.),,ก็เรียก.
๒. กำไล (ดู ไหฺมฺล). ๓. ชื่อไม้ผลชนิดหนึ่ง ต้นและผลคล้ายมะไฟ (ดู ละไม).,,
กำลังควายถึก,น.,ชื่อไม้เถา ที่เถามีหนาม ใบใหญ่ ใช้เป็นสมุนไพร.
กำลังวัน,น.,พิธีปลุกเสกคาถาให้ศักดิ์สิทธิ์ตามกำลังวัน มีดังนี้ อาทิตย์ ๖ จันทร์ ๑๕ อังคาร ๘ พุธ ๑๗ พฤหัสบดี ๑๙ ศุกร์ ๒๑ เสาร์ ๑๐.
ก้ำเสี่ย,ว.,"ขอบคุณ (จ., ภ.ก., พ.ง.)."
กำหญะ,น.,ชื่อไม้ผลชนิดหนึ่ง ประเภทไม้ยืนต้น ผลขนาดผลมะตูม เปลือกผลขรุขระ ผลสุกมีรสเปรี้ยว ๆ ใช้รับประทานได้.
กำหฺมฺลัง,น.,กำลัง (ดู กำมฺลัง).
กำหมวน,ว.,"กล้าได้กล้าเสีย, ใจป้ำ, กล้าลงทุน."
กำหมัง,ก.,"เตรียมพร้อม, รวบรวมกำลังเต็มที่."
กำหมัด,น.,กำปั้น เช่น กำหมัดเขาใหญ่จัง - กำปั้นเขาโตมาก.
กำหมา,น.,อาการที่เกิดจากสิ่งสกปรกอัดอยู่ในซอกเล็บแล้วอักเสบ (ดู กำ
กำหมา,น.,๕.).
กำหมา,ว.,ประหม่า.
กำหลัง,น.,กำลัง (ดู กำมฺลัง).
กำไหฺมฺร,น.,ชื่อไม้ผลชนิดหนึ่ง ต้นและผลคล้ายมะไฟ (ดู ละไม).
กำไหฺมฺล,น.,กำไร (ดู กำไมฺร
กำไหฺมฺล,น.,๑.).
กำไหร,น.,ชื่อไม้ผลชนิดหนึ่ง มีผลกลมเป็นพวงอย่างมะไฟ (ดู จำปูหริ้ง).
กิง,น.,"กิ่ง, ส่วนที่แยกออกจากต้น, แขนง."
กิงทง,น.,กิ่งที่เป็นยอดสูงสุดของต้นไม้.
กิ้งกือ,น.,กิ้งกือ (ดู ผึ้งกือ).
กิงดอกเดียว,น.,ชื่อไม้พุ่มชนิดหนึ่ง (ดู ราชครูดำ).
กิด,ก.,"สะกิด, เอาปลายเล็บหรือสิ่งที่คล้ายคลึงกัน เขี่ย แตะหรือขีดข่วนแต่เบา ๆ เพื่อให้รู้ตัวหรือเพื่อให้สิ่งที่ไม่ต้องการหลุดออกไป."
"กะลิก, กึลิก, ตะลิก, ตีลิก, ตุลิก",,ก็ว่า.
กิ๊ดเหลง,น.,"ไอศกรีม (จ., ภ.ก., พ.ง.)"
"เก็ดเหลง, เกียดเหลง",,ก็เรียก.
กิ๊ดเล้งเตี๋ยว,น.,ไอศกรีมแท่ง
เก็ดเล้งเตี๋ยว,,ก็เรียก.
กิน,ก.,๑. บาด เช่น มีดกินมือ - มีดบาดมือ.
กิน,ก.,เผาไหม้ เช่น ไฟกินเริน - ไฟไหม้บ้าน.
กิน,ก.,ดื่ม เช่น กินน้ำ - ดื่มน้ำ.
กิน,ก.,"โกง, ทุจริต เช่น กินหนน - ทุจริตการสร้างถนน."
กิน,ว.,"คม เช่น ลับมีดให้กิน - ลับมีดให้คม, ขวานนี้กินจัง - ขวานนี้คมจัง."
กินการ,ก.,"๑. การร่วมรับประทานอาหารในพิธี., ๒. ทำงานรับจ้าง เช่น กินการเขาไปวัน ๆ แนะ - รับจ้างเขาไปวัน ๆ นั่นแหละ (ภ.ก.)."
กินเกลียว,สำ.,เข้ากันได้.
กินข้าง,ก.,ลีลาการชนของวัว ที่รอจังหวะให้คู่ต่อสู้เสียหลักเสียจังหวะก็จะชนเข้าบริเวณลำตัวให้ล้มลง
กินเพลียง,,ก็ว่า.
กินขาด,สำ.,"๑). ชนะเด็ดขาด, ๒). ฝีมือเหนือกว่ามาก."
กินข้าวกับพรกบัวบกจิ้มเกลือ,สำ.,คนยากจน.
กินข้าวร่าย,สำ.,กินข้าวบ้านผู้อื่นไปเรื่อยๆ.
กินข้าววัด นอนหลา ห่มผ้าผี,สำ.,คนยากจน.
กินแขก,สำ.,รับประทานอาหารในงานเลี้ยง.
กินค่าเข้ารั้วทำค่าไม้โท้,สำ.,กินมากกว่าทำงานจริง.
กินเคยนกกรง,สำ.,ไกลปืนเที่ยง.
กินงาน,ก.,ร่วมรับประทานอาหารในงานมงคลสมรส.
กินเงินเดือน,สำ.,ข้าราชการ (น.ศ.).
กินดี,ว.,อร่อย.
กินเดิมพัน,สำ.,ริบเดิมพัน.
กินตัด,ก.,"กินรวบทั้งหมด, เป็นภาษาที่ใช้ในวงการพนัน."
กินตัว,ก.,"ผุกร่อนไปเอง,"
กินตัว,ว.,"อยู่ตัว, เต็มอัตรา, เต็มที่ เช่น เอาไม้ไปตากแดดให้กินตัวเสียก่อน - เอาไม้ไปตากแดดให้อยู่ตัวเสียก่อน."
กินตู,ก.,"รับกินแทนเจ้ามือ, เป็นภาษาที่ใช้ในวงการพนัน."
กินเต,ว.,เบียดเบียนเอาผลประโยชน์คนอื่นโดยโก่งราคาแพงกว่าที่ชื้อมาจริง เช่น ซื้อของมาราคา ๘๐ บาท แต่บอกว่าซื้อมา ๑๐๐ บาท เพื่อจะเอาผลประโยชน์ ๒๐ บาท.
