Word,Alternative Forms,POS,Definition
กะหลกฉกแฉ็ก,,ว.,ว. เล็ก ๆ น้อย (ดู หลกฉกแฉ็ก).
กะหลวด,,ก.,"ก. ทำผิดไปจากคนอื่น, ประพฤตินอกลู่นอกทาง (ดู หลวด, ก., )., ว. มาก, ยิ่ง (ดู หลวด, ว.)."
กะหละ,,ว.,"ว. ไม่เชื่อง, ตื่นกลัว (ดู หละ, ว., )."
กะหลักกะลุย,,ว.,ว. มากมายก่ายกอง (ดู กองลุย).
กะหล้า,,ว.,ว. ดังสนั่น (ส.ต.).
กะหล้าต้า,,ว.,"ว. ตื่นกลัว (ดู หลา, ว.)."
กะหลำ,,น.,น. ถาด (ดู ถาด).
กะหลิง,,น.,น. ชาวอินเดียเผ่าพันธุ์หนึ่ง ที่มีผิวดำ
โต๊ะกะหลิง (น.ธ.),ก็เรียก.,,
กะหลืด,,น.,"น. เสลด, เสมหะ (ดู หลืด)., ว. ตะลึง."
กะหลุ,,ก.,ก. ผ่าเหล่า (ช.พ.).
กะหลุ้ง,,ก.,"ก. ทะลวง, กระทุ้ง (ดู ลุ้ง)."
กะเหลาะ,,น.,"น., ชื่อปลาน้ำจืดขนาดใหญ่ชนิดหนึ่ง คล้ายปลาพลวงและปลากด., มะม่วงหิมพานต์ (ดู ยาร่วง)."
กะเหลือก,,ก.,"ก. ค้อนควัก, ชำเลือง (ดู เมฺลือก, ก.)"
กะโหลก,,น.,น. กะลามะพร้าวที่ขูดทั้งลูก ขัดเกลี้ยง ใช้เป็นภาชนะใส่น้ำดื่ม (ดู โคลก).
กะโหลกหัว,,น.,"น. กะโหลก (ดู โหลก, น., )."
กะโหลง,,ก.,"ก. กระฉอก (ดู ฉอก, ก., )."
กะหวะ,,ก.,"ก. ร่วมกันแล้วแบ่งปันผลประโยชน์ (ดู หวะ, ก., )."
กะหวัน,,น.,"น. วงศ์วาน, กำพืด (ดู ปราณ)."
กะหว่าว,,ก.,"ก. พูดคุย, พูดคุยเรื่องสัพเพเหระ (น.ธ.)."
กะเหวน,,ก.,ก. ลาดตระเวน (น.ธ.).
กะหึม,,ก.,"ก. มอด., ว. อารมณ์ค้าง, มืดครึ้ม, ทะมึน. (ดู ฆะหึม)."
กะอวม,,น.,น. ชื่อไม้ต้นขนาดกลาง ผลเล็ก สีเขียวอ่อนหรือสีนวล กินได้
"เบื้องถ้วย, มะฮัน, เปล้า, ขลิบทอง, ไพรสามกอ",ก็เรียก.,,
กะออม,,น.,"น. กระออม (ดู ออม, น.)."
กะอะ,,ก.,"ก. อาเจียน (ดู หะ, ก., )."
กะอาง,,น.,"น. เพดานปาก (ดู อาง, น., )."
กะอุง,,ว.,"ว. ไม่เป็นเรื่องเป็นราว เช่น ทำกะอุงอะไร - ทำไม่เป็นเรื่องเป็นราว (ภ.ก.,, ก.บ., พ.ง.)."
กะเอ,,ว.,ว. มากมายก่ายกอง (ดู กองลุย).
กะเอกะอ้าน,,ว.,ว. มากมายก่ายกอง (ดู กองลุย).
กะเอ็ง,,ก.,"ก. เบื่อหน่าย, เอือมระอา (ช.พ.)."
กะเอย,,ก.,ก. เรอ (ดู เอย).
กะเอิม,,น.,"น., ชื่อโรคที่เกิดจากเชื้อไวรัส (ดู เริม)., ขี้กลาก (ช.พ.)."
กะโอ,,น.,น. ภาชนะทำด้วยกะลามะพร้าว สำหรับใส่เหยื่อตกปลา
"กะโพล้ (ช.พ.), โหลก (น.ศ.)",ก็เรียก.,,
ก. สำรอก (ดู แหวะ ก. ๒.).,,,
กัก,,น.,"น., แดนห้าม ใช้ในการเล่นอย่างหนึ่งของเด็ก เช่น เล่นหลักจักจน เสือข้ามห้วย ฯลฯ ซึ่งห้ามเดินผ่านกัก., เรียกทางสี่แยกว่า ""สี่กัก"", ก., กันไว้, ให้อยู่ในที่จำกัด, กักกัน., การแทงไฮโลโปปั่น แทงกุ้งปลาวิธีหนึ่ง., ลัก. ใน, กั๊ก."
กั๊กกั๊ว,,น.,"น. บวบเหลี่ยม (จ., ภ.ก.)."
กักส้า,,น.,น. หินหรือทรายเม็ดหยาบ ซึ่งมีแร่ดีบุกอยู่ (ดู กะสะ).
กัง,,น.,"น. ลิงกัง, ชื่อลิงขนาดใหญ่ หางสั้นงอโค้งขึ้นไปทางด้านหลัง ใช้ขึ้นมะพร้าว มี ๒ ชนิด คือ ชนิดแรก หน้าขาว ขนสีเทาเรียก ""ลิงนาคบุตร"" ชนิดที่สอง หน้าแดง ก้นแดง ขนเป็นสีเทาอมแดงเรียกว่า ""ลิงเสน"""
กั้ง (ก.บ.),ก็เรียก.,,
"ว. ๑. กาง, แผ่ออก เช่น หูกัง - หูกาง. ๒. สั้น, กุด เช่น แมวนี้หางกัง (พ.ท.).",,,
กั้ง,,น.,"น., ชื่อสัตว์น้ำเค็มชนิดหนึ่ง คล้ายแมงดาทะเล มีขนที่มีพิษ รับประทานไม่ได้"
"เหรา, แมงดาถ้วย, แมงดาทวย",ก็เรียก.,,
๒. ชื่อแมงชนิดหนึ่งคล้ายกุ้ง,,,
"กุ้งกั้ง, กั้งเหนียวจู้ (ภ.ก.)",ก็เรียก.,,
๓. ลิงกัง (ดู กัง น.),,,
กั่วถาว,,น.,"น. หัวหน้าคนงาน (จ., ภ.ก.)"
ก้างขาว,ก็เรียก.,,
กั่งสิน,,ว.,"ว. กังฉิน, คดโกง, อันธพาล, สอพลอ (จ., ภ.ก.)"
กัด,,น.,"น., ชื่อปลาน้ำจืดขนาดเล็ก ทำรังเป็นหวอดที่ผิวน้ำ ตัวผู้ใหญ่กว่าตัวเมีย มีสีสวยงาม สามารถกางครีบ และแผ่นปิดเหงือก เปล่งสีลำตัวให้เข้มขึ้น ในขณะต่อสู้มักกัดกัน., อวนลอยขนาดเล็ก (ม. pukat)., ก., กัด, เอาฟันกดไว้โดยแรงเพื่อไม่ให้สิ่งที่กดไว้หลุดไป, เอาฟันเน้นเพื่อให้แตก (ขบ)."
กัดเคง,,ก.,ก. กิริยาที่ปลาก่อหวอดเพื่อวางไข่ มี ๒ แบบ ปลาใหญ่เรียก กัดเคง ปลาเล็กเรียก กัดฟอง
ทำฟอง,ก็ว่า.,,
กัดซุ้ม,,ก.,"ก. อาการที่หมูกัดใบไม้หรือสิ่งของต่าง ๆ เพื่อเตรียมที่ตกลูก., สำ. ใช้เป็นคำล้อเลียน หมายถึง เตรียมคลอด."
กัดฟันกลืนเลือด,,สำ.,สำ. หมายถึงให้อดทนเอาไว้ แม้จะถึงเลือดก็ให้กลืนลงไป อย่าแสดงอาการ.
"๒. กีดขวางหรือทำสิ่งกีดขวางเพื่อบัง คั่น หรือกันไว้ไม่ให้เข้ามา. สำ. ล้อเลียน, ด่า, กระแนะกระแหน.",,,
กัน,,น.,"น., เสวียนรองหม้อ, ของใช้ชนิดหนึ่งทำด้วยหญ้า หวายหรือฟาง เป็นต้น ถักหรือมัดเป็นวงกลม มักมีหู ๒ ข้าง สำหรับหิ้ว ใช้รองก้นหม้อที่หุงต้มด้วยเตาฟืนหรือเตาถ่าน"
"เตียวหม้อ (ส.ฎ.,ก.บ.), กันหม้อ (ภ.ก.), กันตังหม้อ, ระกันหม้อ, เหวียน, บังเหวียน",ก็เรียก.,,
"๒. หอยกาบคู่ชนิดหนึ่ง (เทียบ ม. lokan). ๓. กั่น, ส่วนของมีดหรือพร้า ซึ่งเป็นเดือยยาวสำหรับใส่ด้าม.",,,
กันพร้า,,น.,"น. ส่วนที่แหลมสอดเข้าไปในด้ามพร้า, พร้าชนิดนี้เรียกว่า พร้ากัน"
"๔. ป่าที่เคยถากถาง แล้วกลับรกร้าง. สรรพ. สรรพนามแทนชื่อผู้พูด. ก. ๑. กีดขวางไม่ให้เข้ามาหรือออกไป หรือไม่ให้เกิดมีขึ้น. ๒. แยกไว้, เก็บ. ๓. ถูด้วยบุ้ง. ๔. การบั้งปลาในแนวขวางเพื่อให้เครื่องแกงเข้าเนื้อปลาและสุกเร็ว",,,
บั้ง,ก็ว่า.,,
๕. การผสมพันธุ์ของสัตว์ (น.ธ.). ว. ๑. เป็นคำ ขยายกริยาให้รู้ว่ามีผู้กระทำตั้งแต่สองคนขึ้นไป เช่น ตีกัน. ๒. ด้วย เช่น ไปกัน - ไปด้วย.,,,
กันเกรา,,น.,น. ไม้กันเกรา (ดู ตำเสา).
กั่นข้อ,,ว.,"ว. ลำบาก, ไม่ไหว (จ., ภ.ก.)."
กันเช้า,,น.,"น. กระเช้า, ภาชนะสาน มีหูเป็นวงโค้งขึ้นไป สำหรับหิ้ว (ส.ข., พ.ท.)."
กันต๋อง,,น.,"น. ไม้กระทง, ไม้ที่ต่อจากกระดูกงูเป็นคู่ ๆ ออกไปข้าง ๆ เหมือนก้างปลา, ไม้ที่ต่อโลงศพ เพื่อเป็นที่เกาะของไม้กระดานที่ต่อเป็นโลงและท้องโลง."
กันตัง,,น.,"น., มาตราตวง ๔ แล่ง เป็น ๑ กันตัง., ชื่อปลาทะเลชนิดหนึ่ง (ดู ขี้ตัง)."
กันตังหม้อ,,น.,"น. เสวียนรองหม้อ (ดู กัน, น., )."
กันเตาะ,,น.,น. ชื่อพันธุ์ไม้ชนิดหนึ่ง.
กั่นโต้ง,,น.,น. ชื่อขนมหวานชนิดหนึ่ง ทำจากเมล็ดพืชคล้ายลูกเดือย สีเหลืองอ่อน (ภ.ก.).
กันท่า,,ว.,"ว. ไม่คล่องตัว, อยู่ในที่กีดขวาง (ดู คั่นท่า)."
กันพร้าว,,น.,น. ภาชนะสานด้วยหวายเป็นรูปกลม ใช้ใส่มะพร้าว เข้าหนีบในกรามช้าง
สบ,ก็เรียก.,,
กันแม,,น.,"น. กะละแม, ขนมชนิดหนึ่ง ทำด้วยแป้งข้าวเหนียว กะทิและน้ำตาลกวนจนเหนียวเป็นสีดำ"
"ดอดอย (เทียบ ม. dodoy ; น.ธ.), ยาหนม, หนมยาหนม, อยาหนม",ก็เรียก.,,
กั่นล็อก,,น.,น. ลูกข่าง (ดู ลูกหัน).
กันหม้อ,,น.,"น. เสวียนรองหม้อ (ดู กัน, น., )."
กับ,,น.,"น., อาหารที่กินกับข้าว เช่น แด็กนี้กินกับเปล่า – เด็กคนนี้กินแต่กับไม่กินข้าว., เครื่องดักสัตว์ชนิดหนึ่งมีลิ้นหรือไก เมื่อไปกระทบเข้าจะปิดหรืองับทันที., ก. ประกบ., สัน. เชื่อมความหมายให้ติดกัน เช่น ดำกับขาว."
กัมพู,,น.,น. ต่างหูที่ทำเป็นเพชรล้อมพลอย มีก้านสำหรับเสียบและตัวยึดแบบเข็มกลัดเนคไท (ม. kerabu ; ภ.ก.)
กัลปังหา,,น.,"น. กะละปังหา (ดู กรัง, น., )."
กัว,,น.,"น., ตะกั่ว, แร่จำพวกโลหะ มีลักษณะอ่อน ละลาย ตัวง่าย., ปลาหัวตะกั่ว, ชื่อปลาขนาดเล็กหากินตามผิวน้ำ พบทั้งในน้ำจืดและน้ำกร่อย ลำตัวกลมยาว หัวโตกว้าง มองด้านข้างเห็นปลายแหลม สันหัวแบน ปากซึ่งอยู่ปลายสุดเชิดขึ้น ตาโตและอยู่ชิดแนวสันหลังหัว เกล็ดใหญ่ ครีบต่าง ๆ มีขอบกลม ครีบด้านหลังมีขนาดเล็กอยู่ใกล้ครีบหาง พื้นลำตัวสีเทาอมเหลือง โคนครีบหลังสีดำ มีจุดสีตะกั่วขนาดใหญ่ โดดเด่นอยู่บนสันหัวระหว่างนัยน์ตา"
"เช็กหัวกัว (ส.ข.), แจ็กหัวกัว, ปลาหัวกัว (น.ศ.), ปลาเหยือกลม (ภ.ก., พ.ง.), ปลาหัวหงาว (น.ธ.)",ก็เรียก.,,
กัวเกีย,,ว.,"ว. มาก, สลอน เช่น คนนี้ได้ลูกหัวกัวเกีย - มีลูกมากนั่งหัวสลอน"
"หัวเขีย (ภ.ก.), หม้อแหม้ (น.ศ.)",ก็ว่า.,,
กั่วจี้,,น.,"น. เมล็ดแตงโมที่ใช้เป็นอาหารขบเคี้ยวเล่น (จ., ภ.ก., พ.ง.)"
"กาจี้, กู้จี้",ก็เรียก.,,
กา,,น.,"น., ชื่อปลาน้ำจืด ปากงุ้มตา ตาเล็ก ตลอดทั้งหัวตัว และครีบมีสีม่วงจนดำทึบ เฉพาะเกล็ดมีจุดสีเหลืองประปราย., ชื่อนก ตัวดำ ร้องกา ๆ."
กาคาบไข่,,สำ.,สำ. คนผิวดำอุ้มคนผิวขาว.
กาบอกข่าว,,น.,น. การละเล่นของเด็ก.
กาล้วงไข,,น.,น. การเล่นอย่างหนึ่งโดยผู้เล่นเข้าไปแย่งไข่หรีอวัตถุที่ใช้แทนจากผู้ครอง
กาฟักไข,ก็เรียก.,,
"๓. เครื่องหมายรูปกากบาท, ตีนกา. ๔. กาน้ำ, ภาชนะสำหรับใส่น้ำหรือต้มน้ำ มีพวยและมีหูสำหรับหิ้วหรือจับ. ๕. ชื่อสมณศักดิ์ในภาคใต้ มี ๔ ตำแหน่ง คือ กาแก้ว กาชาด การาม และกาเดิม. ก. ๑. ขันให้แน่น เช่น กาตาปูเกลียวให้แน่น - ขันตะปูเกลียวให้แน่น. ๒. ทำเครื่องหมาย.",,,
กาหัว,,สำ.,สำ. หมายหัว.
ก่า,,น.,"น. คำใช้นำหน้าคำว่า หญิงหรือชาย เป็นก่าหญิง, ก่าชาย และบางทีอาจนำหน้าคำวิเศษณ์บางคำ เช่น ก่าลุย, ก่าเอ - มาก (ภ.ก.). ก่าชาย, น. ผู้ชาย., ก. ตัด เช่น ก่าถ่าวหมอ - ตัดผม (จ., ภ.ก.)., สัน. ก็."
ก้า,,ก.,"ก. หมุน, ปั่น เช่น ก้าสึ้ง - ปั่นน้ำแข็งไสด้วยเครื่องที่ใช้มือหมุน (จ., ภ.ก., พ.ง.)."
กาก,,น.,"น. กาก, สิ่งที่เหลือเมื่อคั้นหรือคัดเอาส่วนดีออกแล้ว."
กากข้าว,,น.,น. ข้าวเปลือกที่ปนในข้าวสาร.
กากพร้าว ,,น.,น. กากมะพร้าว.
กากหญ้า,,น.,น. หญ้าส่วนที่เหลือจากการให้วัวชนกิน.
ก. ทะลึ่ง,,,
ออกกาก,ก็ว่า.,,
กากปลาร้า,,น.,น. กระทกรก (ดู รกช้าง).
กากลืน,,น.,น. ผลไม้ที่เล็กกว่าขนาดปกติ แต่แก่และสุกได้เช่นเดียวกัน.
ก่ากี่หลาง,,ว.,"ว. คนกันเอง (จ., ภ.ก.)."
กาแก้ว,,น.,"น. ชื่อหนึ่งในสี่ของสมณศักดิ์ในภาคใต้ (ดู กา, น., )."
กาไก,,สำ.,"สำ., สิ่งที่ได้มาโดยไม่ต้องจ่ายเงิน., ไม่ยอมจ่ายเงิน, โกง"
กาเข้ (ภ.ก.),ก็ว่า.,,
ก่าข่า,,น.,น. สังขยา (ส.ต.).
กาข้า,,น.,น. รูปหนังตะลุง เป็นตัวโกงฝ่ายหญิง
"นางเบียน, นางสองแขน, นางท้ายแด้ง, พึ่ดตึ้ง, นางทาสา",ก็เรียก.,,
กาเข้,,สำ.,"สำ. ไม่ยอมจ่ายเงิน (ดู กาไก, สำ.)."
กาง,,น.,"น. ตะกางหรือสะกาง คือ เครื่องดักจระเข้ มีเงี่ยง ๒ ข้าง สำหรับผูกเหยื่อ ลอยน้ำได้., ก., คลุม, สวม, กั้น เช่น กางหมวก - สวมหมวก., กาง, คลี่, แผ่ออก เช่น กางร่ม"
แฉ็ง (น.ศ.),ก็ว่า.,,
"ว. ถ่างออก, แผ่ออก เช่น หูกาง, พุงกาง - ท้องกาง.",,,
ก้าง,,น.,"น., ส่วนแข็งที่ประกอบเป็นโครงร่างของปลา., เศษ, เดน., ก. ติด, ค้าง เช่น ลูกปืนก้าง - กระสุนปืนขัดลำกล้อง., ว. ผอมโซ เช่น อ้ายก้าง - คนผอม."
ก๋าง,,ก.,ก. ลอยไป เช่น จระเข้ที่นอนนิ่ง ๆ บนผิวน้ำให้น้ำพาไปหรือการนำของไม่ดีต่าง ๆ ตามความเชื่อทางไสยศาสตร์ไปลอยน้ำเรียก “ลอยก๋าง” (ภ.ก.).
ก้างกิง,,น.,น. กางเกง (ดู กงเกง).
ก้างเกง,,น.,น. กางเกง (ดู กงเกง).
ก้างเกียะ,,น.,น. ปลวกชนิดหนึ่ง (ดู ก้องเกียะ).
ก้างขาว,,น.,น. หัวหน้าคนงาน (ดู กั่งถาว).
ก้างแทงหม็อก,,ก.,ก. อาการเสียดยอก จุกแน่นชายโครง
"ป้างแทงหม็อก, ป้างแทง",ก็ว่า.,,
ก้างปลา,,น.,"น., ชื่อไม้พุ่มหลายชนิด ชอบขึ้นริมน้ำหรือที่ซับน้ำ ใบยาวรี ปลายมน ดอกออกเป็นกลุ่มอยู่ตามง่ามใบ แถวปลายกิ่ง ผลสุกมีสีดำ ถ้าบี้แล้วจะมีสีเหมือนหมึก ติดมือล้างออกยาก., กระทกรก (ดู รกข้าง)."
ก้างปลาร้า,,น.,น. กระทกรก (ดู รกช้าง).
กางหาง,,ว.,ว. กล้าโดยไม่มีเหตุผล
ม่าม (ส.ฎ.),ก็ว่า.,,
กางหยาง,,น.,น. ส่วนของคันยอ ซึ่งใช้ไม้ไผ่ ๓ อัน ร้อยไขว้กัน ใช้สอดใส่นิ้วยอ (ดู โกกกาก).
กางหลาง,,ว.,"ว., เกะกะ, เกกมะเหรก, วางท่า เช่น ทำกางหลางเหมือนนักเลงโต – วางท่าเหมือนนักเลงโต., ไม่เอาการเอางาน."
กาจับหลัก,,น.,น. วิธีทางไสยศาสตร์ ประเภทเมตตามหานิยม โดยลงอักขระหรืออาคมที่หน้าผาก แก้มหรือฟัน เป็นวิธีการที่นิยมใช้กันในหมู่ศิลปินพื้นเมือง.
ก่าจั๊วะ,,น.,"น. แมลงสาบ (ดู สาบ, น., )."
ก่าจี้,,น.,"น. แร่วุลแฟรม (ภ.ก.)., เมล็ดแตงโม (ดู กัวจี้)."
กาชาด,,น.,"น. ชื่อหนึ่งในสี่ของสมณศักดิ์ในภาคใต้ (ดู กา, น., )."
กาชี้,,น.,น. โรคพืชชนิดหนึ่ง ทำให้เปลือกผลเป็นจุดเนื้อในแข็ง.
กาด,,น.,"น., ผักกาด, ชื่อไม้ล้มลุกหลายชนิดหลายสกุล บางชนิดใช้ใบ บางชนิดใช้หัวเป็นผัก เช่น ผักกาด กวางตุ้ง ผักกาดขม ผักกาดขาว ผักกาดหัว เป็นต้น., คนตรวจตั๋วรถไฟเรียก ""กาดรถ"" ,, ก., อาราธนาสิ่งศักดิ์สิทธิ์ เช่น โนรากาดครูหมอ - มโนราห์กล่าวคำบวงสรวงครู และสิ่งศักดิ์สิทธิ์ที่ตนนับถือ., คุมเชิง, ป้องกันรักษา."
กาดุ,,น.,น. กระสอบป่าน (ดู ยู่หนี.)
กาเดิม,,น.,"น. ชื่อหนึ่งในสี่ของสมณศักดิ์ในภาคใต้ (ดู กา, น., )."
กาต้ม,,น.,น. ประเพณีอย่างหนึ่งของชาวไชยาและท่าชนะ จังหวัดสุราษฎร์ธานี โดยศิษย์วัดจะนำภาชนะไปรับข้าวต้มมัดจากชาวบ้านในคืนวันออกพรรษา เพื่อนำมาถวายพระในวันชักพระ.
ก่าโต้,,น.,"น. กรรไกร (ดู ไกร, น., )."
ก้าถาว,,น.,"น. ระหัดวิดน้ำ ดิน และแร่ ขึ้นจากอุโมงค์ (จ., ภ.ก., พ.ง.)."
กาทึง,,น.,"น. ต้นกากะทิง (ดู ทึง, น.)"
ก้าน,,น.,"น., ก้าน, ซี่ เช่น ก้านร่ม - ซี่ร่ม., ขวด (ดู ขวด, น., )."
กานดำ,,น.,น. งูก้านมะพร้าว (ดู ก้านพร้าว).
กานชา,,น.,น. กัญชา (ส.ฎ.).
กานเช้า,,น.,น. กระเป๋าสานด้วยกระจูด ใช้ใส่หนังสือ.
ก้านตอง,,น.,"น., ไม้ตีทาบขวางแผ่นกระดานเพื่อยึดแผ่นกระดานให้ติดกันหรือให้แข็งแรงยิ่งขึ้น., ไม้วางในโลงศพสำหรับวางฟากตั้งศพ (ดู ข้ามเล, น., )."
ก้านนี้หน่าโบ้,,ว.,ว. คำด่าแม่ของคนเชี้อสายจีน
"ก้านนี้แน่ (จ., ภ.ก.).",ก็ว่า,,
กานบูน,,น.,น. การบูร.
ก้านพร้าว,,น.,"น., ชื่องู ท่อนหัวมีลายยาว ตามลำตัวสีดำขาวท่อนหางสีน้ำตาลแดง ไม่มีพิษ เรียก งูก้านมะพร้าว"
"ทางพร้าว, กานกำ, ปะด่าง",ก็เรียก.,,
"๒. ชื่อไม้กวาดที่ทำด้วยก้านมะพร้าว เรียก ""ไม้กวาดก้านพร้าว""",,,
กาน้ำ,,น.,"น., ชื่อนกชนิดหนึ่ง ปากแหลม คอยาว สีดำคล้ายกา แต่ขนยาวกว่า เดินเหมือนเป็ด หากินในน้ำ กินปลาเป็นอาหาร., นักประดาน้ำที่ไม่ใช้เครื่องประดาน้ำ (ดู ดาน้ำ)."
ก้าน้ำ,,ก.,ก. ตักน้ำขึ้นจากบ่อ โดยใช้ไม้ท่อนทำเป็นรอกมีแกนเหล็กหมุน (ส.ต.).
กาบ,,น.,น. เปลือกหุ้มชั้นนอกของผลหรือดอกและต้นไม้บางชนิด ลอกออกได้เป็นชั้น ๆ เช่น กาบมะพร้าว กาบหมาก กาบกล้วย เป็นต้น.
"กาบดำ, กาบแดง, กาบอ้อย",,น.,น. ชื่อข้าวพันธุ์พื้นเมือง.
กาบเปะ,,น.,น. กาบหมาก (ส.ต.).
ลัก. ลักษณนามที่เรียกยาแผนจีนที่จัดเป็นชุด.,,,
ก่าโบ๋ย,,น.,น. คำเรียกชายชาวอินเดียที่โพกหัว ซึ่งมีอาชีพขายผ้า
"ก้าบน, ก้าบุน (ภ.ก.)",ก็เรียก.,,
กาบโปรง,,น.,น. กระโปรง (ดู ก้ามโปรง).
กาบหยา,,ก.,"ก. เทียบยา, ซื้อยาร้านยาจีนซึ่งเป็นยาสมุนไพร (ภ.ก., พ.ง.)."
กาบอ้อย,,น.,น. ชื่อไม้ยืนต้น วงศ์ Burseraceae ใบประกอบปลายคี่ ดอกเล็กสีเขียวอ่อน ผลรูปไข่เบี้ยว
อะปะตูบู (น.ธ.),ก็เรียก.,,
กาปิต้า,,น.,น. คาร์บูเรเตอร์ (อ. carburetor ; ภ.ก.).
ก่าเปก,,น.,"น. หน่อไม้น้ำ เป็นพืชตระกูลหญ้าในวงศ์ Gramineae (ภ.ก., พ.ง.)"
กะเปะ,ก็เรียก.,,
ก้าโปรง,,น.,น. กระโปรง (ดู ก้ามโปรง).
กาฝาก,,น.,"น., กาฝาก, ชื่อพืชเบียนหลายชนิดที่อาศัยเกาะดูดน้ำและแร่ธาตุหรือสารอาหารที่สังเคราะห์แล้วจากพรรณไม้อื่น."
กาฝากหัวเสือ,,น.,น. ชื่อไม้พุ่มชนิดหนึ่ง (ดู หัวร้อยรู).
"๒. คำเฉลยปริศนาคำทายที่ว่า ""กากะไหรแค่ไม่มีรัง"". ๓. นกขนาดเล็กชนิดหนึ่งชอบกินกาฝาก.",,,
กาพุ่ม,,น.,น. ชื่อไม้พุ่มรอเลื้อยถึงไม้เลื้อยขนาดใหญ่ วงศ์ Rubiaceae ใบเดี่ยวเรียงตรงข้ามกัน ดอก ๕ กลีบ สีขาวถึงเหลืองนวล ผลรูปกระสวย
"เกี่ยวชู้, เถาย่านน้ำเต้า",ก็เรียก.,,
ก้ามปู,,น.,"น., ขากรรไกร, กระดูกต้นคางที่อ้าขึ้นอ้าลงมีลักษณะอย่างกรรไกร (น.ศ.)., ตะขอสับที่มีลักษณะเป็นเช่นนั้น., ต้นฉำฉา, ชื่อไม้ต้นขนาดใหญ่ เรือนยอดทึบแผ่สาขากว้าง ดอกเป็นพู่ สีชมพู ฝักแก่สีน้ำตาลไหม้ รสหวาน ๆ"
"ฉ้ำฉา, ขามหวาน (พ.ท.), ตีห้า (ก.บ.)",ก็เรียก.,,
ก้ามโปรง,,น.,"น. กระโปรง, ผ้านุ่งผู้หญิงแบบสากล"
"กาบโปรง (ส.ฎ.), ก้าโปรง (น.ศ.)",ก็เรียก.,,
กามพลู,,น.,"น. กานพลู, ชื่อไม้ต้นขนาดกลาง ดอกตูม มีรสเผ็ดร้อนตากแห้งแล้วใช้เป็นเครื่องเทศและทำยา (ทมิฬ กิรามบู)"
กำพู,ก็เรียก.,,
กาย,,น.,"น., ปัญญา, ความรอบรู้, ความรู้ทั่ว, ความฉลาดเกิดแต่เรียนและคิด เช่น กายดี – ปัญญาดี (ส.ต)., ชื่อไม้เถาเลื้อยขนาดใหญ่ วงศ์ Rubiaceae ใบเดี่ยวเรียงตรงข้ามกัน ดอก ๕ กลีบ สีเขียวอ่อนถึงขาวนวล ผลคล้ายรูปกระสวย., ก. เขี่ย, คุ้ย, ก่าย, ตะกาย, เกย เช่น เอาไม้มากายไฟ - เอาไม้เกลี่ยไฟให้อ่อนลง, ไกมากายต้นผัก - ไก่มาคุ้ยเขี่ยต้นผัก."
ก๋าย,,น.,น. ชื่อไม้เลื้อยเนื้อแข็งขนาดใหญ่ วงศ์ Annonaceae ใบเดี่ยวเรียงสลับสองด้านของกิ่งในระนาบเดียวกัน ดอกออกเป็นช่อ ๆ กลีบดอกสีขาวนวลแกมสีม่วงผลกลุ่ม แต่ละผลรูปกลมรี.
กายหลาย,,ว.,"ว. ไม่อยู่ในร่องในรอย, กล้าเสี่ยงโดยไม่เกรงกลัว (ดู กวายหลาย)."
กาย่ง,,น.,น. ศิลปะการป้องกันตัวของคนเชื้อสายมลายู (ภ.ก.).
กายอง,,น.,น. มะม่วงหิมพานต์ (ดู ยาร่วง).
การ,,น.,"น., งานพิธี, การงาน, เจ้าภาพในงานพิธีเรียก ""เจ้าการหรือเจ้างาน"", วันเริ่มงานเรียก ""เข้าการหรือเข้างาน"" บอกกล่าวแขกเข้าร่วมงาน เรียก ""บอกการหรือบอกงาน"", การไปช่วยเหลือ เรียก ""ช่วยการหรือช่วยงาน"" ผู้ที่ประสานงานเรียก ""แล่นการ"", บางถิ่นเรียกผู้บริการในงานว่า ""แล่นการ"", ร่วมรับประทานอาหารในพิธีเรียก ""กินการหรือกินงาน"", งานเลิกเรียก ""เลิกการหรือเลิกงาน"",, เรื่องราว เช่น การไหรหมึง - เรื่องอะไรของคุณ. การไหรใคร, สำ. ไมใช่ธุระของใคร., ระยะเวลาการทำงาน ๘ ชั่วโมง หรือ ๑ กะ เรียก ๑ การ เช่น วันนี้หมึงได้กี้การ - วันนี้มึงได้กี่แรงหรือกี่กะ (ภ.ก.)."
การขี้หนี,,น.,"น. เสนียดจัญไร, ลักษณะที่เป็นอัปมงคล."
การดี,,ว.,"ว. ขยัน, ไม่เกียจคร้าน, ทำการงานอย่างแข็งขัน ไม่ปล่อยปละละเลย., สำ. เจ้ากี้เจ้าการ."
การหาน,,ว.,ว. ขี้เกียจ.
การะหนี,,น.,น. บานไม่รู้โรย (ดู กุนหนี).
การาม,,น.,"น. ชื่อหนึ่งในสี่ของสมณศักดิ์ภาคใต้ (ดู กา, น., )."
กาล้วงหม้อ,,น.,"น., ซอกไหปลาร้าที่เป็นรอยบุ๋มลงไป เช่น อ้ายแดงถูกแทงเข้ากาล้วงหม้อ - อ้ายแดงถูกแทงเข้าที่ไหปลาร้า., การเล่นของเด็กอย่างหนึ่ง ทำรูปไข่วางกลางดินที่มีอุโมงค์แล้วใช้มือชกที่อุโมงค์ให้ไข่กระเด็น ใครทำให้ไข่กระเด็นได้โกลที่สุดเป็นผู้ชนะ., กายกรรมท่าหนึ่ง โดยผู้แสดงม้วนกลิ้งไปบนราวคู่."
